olddrugname,cleandrugname
belimumab!120mg!powder for concentrate for infusio,belimumab
belimumab!400mg!powder for concentrate for infusio,belimumab
benepali,etanercept
benepali (etanercept) (homecare),etanercept
benepali (homecare prefilled pen) etanercept,etanercept
benepali (homecare prefilled syringe) etanercept,etanercept
benepali (homecare),etanercept
benepali (homecare) 50 mg pre-filled pen,etanercept
benepali (homecare) 50 mg pre-filled syringe,etanercept
benepali 25mg/0.5ml solution for injection pre-filled syringes (biogen idec ltd),etanercept
benepali 50mg/1ml solution for injection pre-filled pen (biogen idec ltd),etanercept
benepali 50mg/1ml solution for injection pre-filled pen (biogen idec ltd) 4 pre-filled disposable injection,etanercept
benepali 50mg/1ml solution for injection pre-filled syringes (biogen idec ltd),etanercept
benepali 50mg/1ml solution for injection pre-filled syringes (biogen idec ltd),etanercept
benepali pen,etanercept
benepali pen 50mg <8>,etanercept
benepali pen 50mg/ml,etanercept
benepali pen 50mg/ml         4022265,etanercept
benepali pen 50mg/ml         4022265    ,etanercept
benepali pen 50mg/ml         usp 6156,etanercept
benepali pen 50mg/ml         usp 6156   ,etanercept
benepali pfs 50mg/ml       4022273,etanercept
benepali pfs 50mg/ml       4022273      ,etanercept
benlysta 400mg powder for concentrate for solution for infusion vials (glaxosmithkline uk ltd),belimumab
benralizumab,anti-eosinophils
benralizumab,anti-eosinophils
benralizumab,anti-eosinophils
benralizumab (fasenra) 30 mg in 1ml pre-filled injection pen,anti-eosinophils
benralizumab (fasenra)^,anti-eosinophils
benralizumab (fasenra)_(homecare) 30 mg in 1ml pre-filled injection pen,anti-eosinophils
benralizumab (pas) 30 mg in 1ml pre-filled syringe,anti-eosinophils
benralizumab (pre-filled pens),anti-eosinophils
benralizumab (pre-filled syringe),anti-eosinophils
benralizumab 30 mg in 1ml injection,anti-eosinophils
benralizumab 30 mg in 1ml injection,anti-eosinophils
benralizumab 30 mg in 1ml pre-filled pens,anti-eosinophils
benralizumab 30 mg/1ml soln for inject pf syringes,anti-eosinophils
benralizumab 30mg injection,anti-eosinophils
benralizumab 30mg/1ml solution for injection pfs (1),anti-eosinophils
benralizumab 30mg/1ml solution for injection pre-filled syringes,anti-eosinophils
benralizumab pre-filled syringe 30mg in 1ml,anti-eosinophils
benralizumab!30mg/1ml!solution for injection pfs (1),anti-eosinophils
benralizumab?,anti-eosinophils
benralizumab_hc,anti-eosinophils
benralizumabadmin tag,anti-eosinophils
brodalimumab,IL17
brodalumab,IL17
brodalumab,IL17
brodalumab $ (homecare),IL17
brodalumab $ hc maintenance,IL17
brodalumab (foc) 210 mg pre-filled syringe,IL17
brodalumab (for homecare therapy),IL17
brodalumab (homecare),IL17
brodalumab (homecare),IL17
brodalumab (kyntheum - homecare) 210 mg pre-filled syringe,IL17
brodalumab 210mg/1.5ml solution for injection pre-filled syringes,IL17
brodalumab 210mg/1.5ml solution for injection pre-filled syringes,IL17
bt rituximab,B cell
certolizumab,certolizumab
certolizumab,certolizumab
certolizumab $(homecare),certolizumab
certolizumab $(homecare) pen,certolizumab
certolizumab $hc pen maintenan,certolizumab
certolizumab $hc syr maintenan,certolizumab
certolizumab (homecare pen pack ),certolizumab
certolizumab (homecare pen pack ) pas,certolizumab
certolizumab (homecare syringe pack ),certolizumab
certolizumab (homecare syringe pack ) pas,certolizumab
certolizumab (homecare),certolizumab
certolizumab (homecare)  pen,certolizumab
certolizumab (homecare) pen,certolizumab
certolizumab 200 mg pre filled syringe,certolizumab
certolizumab for homecare,certolizumab
certolizumab pegol,certolizumab
certolizumab pegol,certolizumab
certolizumab pegol - cimzia  (1st course) (pen) 200 mg injection,certolizumab
certolizumab pegol - cimzia (homecare foc),certolizumab
certolizumab pegol - cimzia (homecare),certolizumab
certolizumab pegol - cimzia (pen) 200 mg injection,certolizumab
certolizumab pegol  (home deliv),certolizumab
certolizumab pegol  (home deliv) (g-s),certolizumab
certolizumab pegol (),certolizumab
certolizumab pegol (cimzia for homecare therapy),certolizumab
certolizumab pegol (cimzia) (home) 200 mg injection,certolizumab
certolizumab pegol (cimzia) [homecare] (rheumatology) 200 mg in 1ml prefilled pen,certolizumab
certolizumab pegol (cimzia) [homecare] (rheumatology) 200 mg in 1ml prefilled syringe,certolizumab
certolizumab pegol (cimzia)_(homecare) 200 mg in 1ml pre-filled injection pen,certolizumab
certolizumab pegol (cimzia)_(homecare) 200 mg in 1ml pre-filled syringe,certolizumab
certolizumab pegol (home delivery),certolizumab
certolizumab pegol (home delivery) 200 mg pre-filled syringe,certolizumab
certolizumab pegol (homecare (cimzia) ucia03249),certolizumab
certolizumab pegol (homecare),certolizumab
certolizumab pegol (homecare) (foc stock),certolizumab
certolizumab pegol (homecare) 200 mg pre-filled pen (autoclick),certolizumab
certolizumab pegol (homecare) 200 mg pre-filled syringe,certolizumab
certolizumab pegol (homecare) 200 mg/1ml soln for inject pf disp device,certolizumab
certolizumab pegol (homecare) 200 mg/1ml soln for inject pf syringes,certolizumab
certolizumab pegol 200 mg in 1ml injection,certolizumab
certolizumab pegol 200 mg pre-filled pen (autoclick),certolizumab
certolizumab pegol 200mg pfs  (2 pfs) (continuation h@h),certolizumab
certolizumab pegol 200mg pfs! (2 pfs) (continuation h@h),certolizumab
certolizumab pegol 200mg/1ml pf pen (via homecare),certolizumab
certolizumab pegol 200mg/1ml pfp(homecare),certolizumab
certolizumab pegol 200mg/1ml solution for injection pre-filled disposable devices,certolizumab
certolizumab pegol 200mg/1ml solution for injection pre-filled disposable devices,certolizumab
certolizumab pegol 200mg/1ml solution for injection pre-filled syringes,certolizumab
certolizumab pegol!200mg/1ml!pre-filled pen,certolizumab
certolizumab pre-filled pen 200 mg injection,certolizumab
chemo r-chop-rituximab c7or8 1,B cell
chemo rituximab (itp/aiha)wkly,B cell
cimzia,certolizumab
cimzia (homecare) 200 mg pre-filled syringe,certolizumab
cimzia 200mg/1ml solution for injection pre-filled pen (ucb pharma ltd),certolizumab
cimzia 200mg/1ml solution for injection pre-filled syringes (ucb pharma ltd),certolizumab
cimzia 200mg/1ml solution for injection pre-filled syringes (ucb pharma ltd) 2 syringe,certolizumab
cimzia pen 200mg <2>,certolizumab
cimzia pen 200mg/ml          ucia03249,certolizumab
cimzia pen 200mg/ml          ucia03249  ,certolizumab
cimzia pfs 200mg <4>,certolizumab
cimzia pfs 200mg <6>,certolizumab
cimzia pfs 200mg/ml     uc1a00090,certolizumab
cimzia pfs 200mg/ml     uc1a00090       ,certolizumab
civa infliximab remsima in sodium chloride 0.9%  infusion,infliximab
cosentyx,IL17
cosentyx $ pen,IL17
cosentyx $ pen (derm 1st switch),IL17
cosentyx $ pen (derm naive),IL17
cosentyx (homecare) 150 mg in 1ml pre-filled pen,IL17
cosentyx 150mg/1ml solution for injection pre-filled pens (novartis pharmaceuticals uk ltd),IL17
cosentyx pen,IL17
cosentyx pen 150mg        730592,IL17
cosentyx pen 150mg        730592        ,IL17
cosentyx pen 150mg <10>,IL17
cosentyx pen 150mg <2>,IL17
cosentyx pen 150mg <6>,IL17
cosentyx* $ pen (derm naive),IL17
cosentyx150mg/1mlsolutionforinjectionpre-filledpens(novartispharmaceuticalsukltd)2pre-fi,IL17
cyto rituximab (truxima) in sodium chloride 0.9% infusion,B cell
cyto vedolizumab in sodium chloride 0.9% infusion,integrins
delivery charge (12 weekly) for anakinra,anakinra
delivery charge anakinra,anakinra
drug/device etc: aflibercept eylea 4 mg in 0.1ml intravitreal injection,VEGF
drug/device etc: ranibizumab lucentis 10 mg in 1ml injection,VEGF
dupilumab,dupilumab
dupilumab,dupilumab
dupilumab-á,dupilumab
dupilumab - homecare,dupilumab
dupilumab (2 x 2ml syringe hom,dupilumab
dupilumab (2 x 2ml syringe home),dupilumab
dupilumab (dupixent for homecare therapy),dupilumab
dupilumab (dupixent) (homecare),dupilumab
dupilumab (dupixent) 300 mg in 2ml pre-filled syringe,dupilumab
dupilumab (dupixent) 300 mg pre-filled syringe,dupilumab
dupilumab (dupixent)_(homecare) 200mg in 1.14ml subcutaneous injection,dupilumab
dupilumab (dupixent)_(homecare) 300 mg in 2ml pre-filled disposable device,dupilumab
dupilumab (foc homecare) 150 mg in 1ml pre-filled syringe,dupilumab
dupilumab (foc via eams) 300 mg in 2ml subcutaneou,dupilumab
dupilumab (home delivery),dupilumab
dupilumab (home) 300 mg in 2ml subcutaneous injection,dupilumab
dupilumab (homecare),dupilumab
dupilumab (homecare),dupilumab
dupilumab (homecare),dupilumab
dupilumab (homecare) 300 mg /2ml pre-filled injection syringe,dupilumab
dupilumab (homecare) 300 mg in 2ml pre-filled syringe,dupilumab
dupilumab (homecare) dupixent,dupilumab
dupilumab (homecare) pre filled syringe,dupilumab
dupilumab (patient access scheme price) 200 mg prefilled syringe,dupilumab
dupilumab **homecare**,dupilumab
dupilumab 200mg/1.14ml solution for injection,dupilumab
dupilumab 300 mg prefilled syringe,dupilumab
dupilumab 300mg/2ml solution for  injection (homec,dupilumab
dupilumab 300mg/2ml solution for injection (2) homecare,dupilumab
dupilumab 300mg/2ml solution for injection pre-filled syringes,dupilumab
dupilumab 300mg/2ml solution for injection pre-filled syringes,dupilumab
dupilumab 300mg/2ml syringe,dupilumab
dupilumab!300mg/2ml!solution for injection (2) homecare,dupilumab
dupilumab* (homecare) 300 mg pre-filled syringe,dupilumab
dupilumab?,dupilumab
dupixent (homecare) 300 mg in 2ml pre-filled syringe,dupilumab
dupixent 300mg/2ml solution for injection pre-filled syringes (sanofi),dupilumab
dupixent300mg/2mlsolutionforinjectionpre-filledsyringes(sanofi)2pre-filleddisposableinjec,dupilumab
enbrel,etanercept
enbrel,etanercept
enbrel - autoject 2 owen & mumford       220-5458,etanercept
enbrel (etanercept),etanercept
enbrel (etanercept) (homecare),etanercept
enbrel (homecare pen pack) etanercept,etanercept
enbrel (homecare prefilled syringe) etanercept,etanercept
enbrel (homecare vial pack) etanercept,etanercept
enbrel 25mg/0.5ml solution for injection pre-filled syringes (pfizer ltd),etanercept
enbrel 25mg/0.5ml solution for injection pre-filled syringes (pfizer ltd) 4 pre-filled disposable injection,etanercept
enbrel 50mg/1ml solution for injection pre-filled myclic pen,etanercept
enbrel 50mg/1ml solution for injection pre-filled syringes,etanercept
enbrel 50mg/1ml solution for injection pre-filled syringes (pfizer ltd),etanercept
enbrel myclic (homecare) 50 mg pre-filled pen,etanercept
enbrel myclic pen 50mg              3932,etanercept
enbrel myclic pen 50mg       f000041068,etanercept
enbrel paediatric 10mg vial         7579,etanercept
enbrel pen,etanercept
enbrel pen *homecare*,etanercept
enbrel pre-filled myclic pen  50mg injection solution,etanercept
enbrel prefilled syr  50mg/ml   8033601,etanercept
enbrel prefilled syr  50mg/ml f000038184,etanercept
enbrel prefilled syr  50mg/ml f000040351,etanercept
enbrel syringe,etanercept
enbrel syringe *homecare*,etanercept
enbrel vial 25mg/ml            8073235,etanercept
enbrel(myclic) 50mg pf.pen<4>,etanercept
enbrel50mg/1mlsolutionforinjectionpre-filledmyclicpen(pfizerltd)4pre-filleddisposablein,etanercept
entyvio 300mg powder for concentrate for solution for infusion vials (takeda uk ltd),integrins
entyvio 300mg powder for concentrate for solution for infusion vials (takeda uk ltd) 1 vial,integrins
entyvio300mgpowderforconcentrateforsolutionforinfusionvials(takedaukltd)1vial,integrins
erelzi (etanercept),etanercept
erelzi pen,etanercept
erelzi syringe,etanercept
erelzi50mg/1mlsolutionforinjectionpre-filledsyringes(sandozltd)4pre-filleddisposableinje,etanercept
etanercept,etanercept
etanercept,etanercept
etanercept - benepali (homecare),etanercept
etanercept - benepali pen 50mg/ml         4022265,etanercept
etanercept - enbrel,etanercept
etanercept - enbrel (homecare),etanercept
etanercept - enbrel paediatric 10mg vial  f0000403,etanercept
etanercept - enbrel paediatric 10mg vial  f000040307,etanercept
etanercept - enbrel vial 25mg/ml,etanercept
etanercept - enbrel vial 25mg/ml        f000040286,etanercept
etanercept - erelzi (homecare),etanercept
etanercept - homecare delivery,etanercept
etanercept  paediatric (enbrel) 10 mg injection,etanercept
etanercept ! enbrel paediatric 10mg vial         7,etanercept
etanercept ! enbrel paediatric 10mg vial         7579,etanercept
etanercept ! enbrel vial 25mg/ml            807323,etanercept
etanercept ! enbrel vial 25mg/ml            8073235,etanercept
etanercept (benepali for homecare therapy),etanercept
etanercept (benepali pen),etanercept
etanercept (benepali pen) 50 mg subcutaneous injection 4 x 50mg pre-filled pen pack,etanercept
etanercept (benepali pre-filled pen) 50 mg injection,etanercept
etanercept (benepali pre-filled syringe),etanercept
etanercept (benepali pre-filled syringe) 25 mg injection,etanercept
etanercept (benepali pre-filled syringe) 50 mg injection,etanercept
etanercept (benepali),etanercept
etanercept (benepali),etanercept
etanercept (benepali) ,etanercept
etanercept (benepali) (for home delivery patients),etanercept
etanercept (benepali) (hhome) 50 mg pre-filled pen,etanercept
etanercept (benepali) (home delivery),etanercept
etanercept (benepali) (home delivery) (g-s),etanercept
etanercept (benepali) (home delivery) 25 mg in 0.5ml pre-filled syringe,etanercept
etanercept (benepali) (home delivery) 50 mg pre-filled pen,etanercept
etanercept (benepali) (home delivery) 50 mg pre-filled syringe,etanercept
etanercept (benepali) (home) 50 mg in 1ml subcutaneous injection,etanercept
etanercept (benepali) (homecare),etanercept
etanercept (benepali) * (homecare),etanercept
etanercept (benepali) [homecare] (dermatology) 50 mg in 1ml prefilled pen,etanercept
etanercept (benepali) [homecare] (rheumatology) 25 mg in 0.5ml prefilled syringe,etanercept
etanercept (benepali) [homecare] (rheumatology) 50 mg in 1ml prefilled pen,etanercept
etanercept (benepali) [homecare] (rheumatology) 50 mg in 1ml prefilled syringe,etanercept
etanercept (benepali) 50 mg injection,etanercept
etanercept (benepali) 50 mg pre-filled injection pen,etanercept
etanercept (benepali) 50 mg pre-filled pen,etanercept
etanercept (benepali) 50 mg pre-filled pens,etanercept
etanercept (benepali) 50 mg pre-filled syringe,etanercept
etanercept (benepali) 50 mg pre-filled syringe,etanercept
etanercept (benepali) 50 mg subcutaneous injection 4 x 50mg pre-filled syringe pack,etanercept
etanercept (benepali) 50mg homecare,etanercept
etanercept (benepali) pen homecare,etanercept
etanercept (benepali) pre-filled pen,etanercept
etanercept (benepali) pre-filled pen 50 mg injection,etanercept
etanercept (benepali) pre-filled syringe,etanercept
etanercept (benepali)_(homecare) 25 mg pre-filled syringe,etanercept
etanercept (benepali)_(homecare) 50 mg pre-filled injection pen,etanercept
etanercept (benepali)_(homecare) 50 mg pre-filled syringe,etanercept
etanercept (enbrel - homecare) 50 mg pre-filled disposable pen,etanercept
etanercept (enbrel for homecare therapy) myclic,etanercept
etanercept (enbrel pen),etanercept
etanercept (enbrel pen) 50 mg subcutaneous injection 4 x 50mg pre-filled pen pack,etanercept
etanercept (enbrel vial),etanercept
etanercept (enbrel vial) 25 mg injection,etanercept
etanercept (enbrel),etanercept
etanercept (enbrel),etanercept
etanercept (enbrel) ,etanercept
etanercept (enbrel) (home delivery),etanercept
etanercept (enbrel) (home delivery) 25 mg in 0.5ml pre-filled syringe,etanercept
etanercept (enbrel) (home delivery) 50 mg in 1ml pre-filled syringe,etanercept
etanercept (enbrel) (home delivery) 50 mg pre-filled pen,etanercept
etanercept (enbrel) (home) 50 mg injection,etanercept
etanercept (enbrel) (homecare),etanercept
etanercept (enbrel) (homecare) (rheum),etanercept
etanercept (enbrel) (homecare) (vials),etanercept
etanercept (enbrel) [homecare] (rheumatology) 50 mg in 1ml prefilled pen,etanercept
etanercept (enbrel) [homecare] (rheumatology) paediatric 10 mg powder and solvent,etanercept
etanercept (enbrel) 25 mg injection 4 x 25mg vial pack,etanercept
etanercept (enbrel) 50 mg pre-filled pen,etanercept
etanercept (enbrel) 50 mg pre-filled syringe,etanercept
etanercept (enbrel) 50 mg pre-filled syringe,etanercept
etanercept (enbrel) 50 mg subcutaneous injection 4 x 50mg pre-filled syringe pack,etanercept
etanercept (enbrel) myclic pen (homecare),etanercept
etanercept (enbrel) pre-filled pen 50 mg injection,etanercept
etanercept (enbrel)_(homecare) 10 mg injection,etanercept
etanercept (enbrel)_(homecare) 25 mg injection,etanercept
etanercept (enbrel)_(homecare) 25 mg pre-filled injection pen,etanercept
etanercept (enbrel)_(homecare) 25 mg pre-filled syringe,etanercept
etanercept (enbrel)_(homecare) 50 mg pre-filled injection pen,etanercept
etanercept (erelzi - homecare) 25 mg pre-filled syringe,etanercept
etanercept (erelzi - homecare) 50 mg pre-filled disposable pen,etanercept
etanercept (erelzi - homecare) 50 mg pre-filled syringe,etanercept
etanercept (erelzi),etanercept
etanercept (erelzi) (homecare),etanercept
etanercept (erelzi) autoinjector pen 50 mg injection,etanercept
etanercept (erelzi) pre-filled syringe 50 mg injection,etanercept
etanercept (home delivery),etanercept
etanercept (homecare (benepali) 4022265),etanercept
etanercept (homecare (benepali) 4022265),etanercept
etanercept (homecare (benepali) 4022273),etanercept
etanercept (homecare pen pack),etanercept
etanercept (homecare prefilled syringe),etanercept
etanercept (homecare vial pack),etanercept
etanercept (homecare) (benepali) 50 mg injection,etanercept
etanercept (homecare) (enbrel) 50 mg ^ injection,etanercept
etanercept (homecare) benepali  pen,etanercept
etanercept (homecare) benepali pen,etanercept
etanercept (homecare) enbrel,etanercept
etanercept (homecare) enbrel myclic pen,etanercept
etanercept (paed) (home delivery),etanercept
etanercept (vial pack),etanercept
etanercept [:benepali 50mg],etanercept
etanercept [:enbrel 25mg],etanercept
etanercept [:enbrel 50mg],etanercept
etanercept [benepali] (homecare) 50 mg/1ml soln for inject pf disp device,etanercept
etanercept [benepali] (homecare) 50 mg/1ml soln for inject pf syringes,etanercept
etanercept [benepali] (homecare) 50 mg/1ml soln for injection pf pen,etanercept
etanercept [enbrel] (homecare) 50 mg/1ml soln for inject pf syringes,etanercept
etanercept 10mg injection,etanercept
etanercept 10mg powder and solvent for solution for injection vials,etanercept
etanercept 10mg powder and solvent for solution for injection vials,etanercept
etanercept 25mg injection,etanercept
etanercept 25mg powder and solvent for solution for injection vials,etanercept
etanercept 25mg powder and solvent for solution for injection vials,etanercept
etanercept 25mg pre-filled syringe (4) (homecare),etanercept
etanercept 25mg prefilled pen (benepali) (homecare),etanercept
etanercept 25mg syringe,etanercept
etanercept 25mg syringe -,etanercept
etanercept 25mg/0.5ml solution for injection pre-filled syringes,etanercept
etanercept 25mg/0.5ml solution for injection pre-filled syringes,etanercept
etanercept 50 mg -,etanercept
etanercept 50 mg syringe -,etanercept
etanercept 50mg myclic pen (enbrel),etanercept
etanercept 50mg pre-filled syringe (4 pfs)  (homecare)  ,etanercept
etanercept 50mg prefilled pen,etanercept
etanercept 50mg prefilled pen (benepali) (homecare),etanercept
etanercept 50mg syringe (homecare),etanercept
etanercept 50mg/1ml pf pen (erelzi) (1) via homecare,etanercept
etanercept 50mg/1ml pre-filled syringe,etanercept
etanercept 50mg/1ml solution for injection pre-filled disposable devices,etanercept
etanercept 50mg/1ml solution for injection pre-filled disposable devices,etanercept
etanercept 50mg/1ml solution for injection pre-filled syringes,etanercept
etanercept 50mg/1ml solution for injection pre-filled syringes,etanercept
etanercept 50mg/1ml!pre-filled syringe (benepali),etanercept
etanercept benepali (),etanercept
etanercept benepali (homecare),etanercept
etanercept biosimilar,etanercept
etanercept biosimilar (benepali) (homecare) 50 mg injection,etanercept
etanercept biosimilar 50mg/1ml pre-filled pen,etanercept
etanercept delivery charge,etanercept
etanercept delivery charge  na 1 unit pack,etanercept
etanercept discounted!50mg myclic pen,etanercept
etanercept enbrel (homecare),etanercept
etanercept pen (benepali)50mg injection,etanercept
etanercept pen *homecare*,etanercept
etanercept pfs homecare (benepali),etanercept
etanercept pfs homecare (benepali) 50 mg injection 4 pre-filled syringe pack,etanercept
etanercept pfs homecare (benepali) 50 mg subcutaneous injection 4 pre-filled syringe pack,etanercept
etanercept pfs homecare (embrel) 50 mg injection 4 pre-filled syringe pack,etanercept
etanercept pfs homecare (embrel) 50 mg subcutaneous injection 4 pre-filled syringe pack,etanercept
etanercept pfs homecare (enbrel),etanercept
etanercept pfs homecare (enbrel) 50 mg subcutaneous injection 4 pre-filled syringe pack,etanercept
etanercept syringe *homecare*,etanercept
etanercept!25mg discounted vial,etanercept
etanercept!25mg!injection (enbrel),etanercept
etanercept!25mg!syringe (enbrel),etanercept
etanercept!50mg!pre-filled syringe (4 pfs)  (homecare)  ,etanercept
etanercept!50mg!prefilled pen (benepali) (homecare),etanercept
etanercept!50mg/1ml!pre-filled pen (benepali),etanercept
etanercept!50mg/1ml!pre-filled syringe (benepali),etanercept
etanercept(benepali),etanercept
etanercept(benepali) - gainshare,etanercept
etanercept(enbrel),etanercept
etanercept(enbrel) injection !25mg/ml (paed) (1 vial),etanercept
etanercept_hc,etanercept
eylea,VEGF
eylea (aflibercept),VEGF
eylea 2 mg/0.05 ml,VEGF
eylea 2mg/50microlitres solution for injection vials,VEGF
eylea 2mg/50microlitres solution for injection vials (bayer plc) 1 vial,VEGF
eyleft eyea (aflibercept),VEGF
fasenra,anti-eosinophils
fasenra 30mg/1ml solution for injection pre-filled pens (astrazeneca uk ltd),anti-eosinophils
fasenra 30mg/1ml solution for injection pre-filled syringes (astrazeneca uk ltd),anti-eosinophils
flixabi (infliximab),infliximab
gainshare - etanercept,etanercept
gainshare - infliximab,infliximab
gainshare - rituximab,B cell
golimumab,golimumab
golimumab,golimumab
golimumab $ (homecare) pen,golimumab
golimumab (home delivery),golimumab
golimumab (home delivery) (g-s),golimumab
golimumab (home delivery) 100 mg pre-filled pen,golimumab
golimumab (home delivery) 50 mg pre-filled pen,golimumab
golimumab (home) 100 mg injection pen,golimumab
golimumab (home) 50 mg injection pen,golimumab
golimumab (homecare),golimumab
golimumab (homecare),golimumab
golimumab (homecare),golimumab
golimumab (homecare) 100 mg preloaded pen,golimumab
golimumab (homecare) 50 mg preloaded pen,golimumab
golimumab (homecare) 50mg,golimumab
golimumab (homecare) pen,golimumab
golimumab (homecare) rheum,golimumab
golimumab (pen) 100 mg subcutaneous injection,golimumab
golimumab (simponi for homecare therapy),golimumab
golimumab (simponi),golimumab
golimumab (simponi) - pen  (homecare),golimumab
golimumab (simponi) - pen (homecare),golimumab
golimumab (simponi) [homecare] (rheumatology) 50 mg prefilled pen,golimumab
golimumab (simponi) [homecare] (rheumatology) 50 mg prefilled syringe,golimumab
golimumab (simponi) 50 mg pre-filled pen,golimumab
golimumab (simponi) homecare,golimumab
golimumab (simponi)_(homecare) (50mg once a month) 50 mg in 0.5ml pre-filled injection pen,golimumab
golimumab (simponi)_(homecare) (50mg once a month) 50 mg in 0.5ml pre-filled syringe,golimumab
golimumab (simponi)_(homecare) (50mg twice a month) 50 mg in 0.5ml pre-filled injection pen,golimumab
golimumab (simponi)_(homecare) 100 mg in 1ml pre-filled injection pen,golimumab
golimumab [simponi],golimumab
golimumab [simponi] (homecare) 100 mg/1ml soln for inject pf disp device,golimumab
golimumab [simponi] (homecare) 50 mg/0.5ml soln for inject pf disp device,golimumab
golimumab 100 mg pre-filled pen,golimumab
golimumab 100mg/1ml solution for injection pre-filled disposable devices,golimumab
golimumab 100mg/1ml solution for injection pre-filled disposable devices,golimumab
golimumab 2 x 50mg (100mg injection) (homecare),golimumab
golimumab 50 mg in 0.5ml pre-filled injection pen,golimumab
golimumab 50mg pen/syringe (homecare),golimumab
golimumab 50mg/0.5ml pre-filled pen (1 pen) (homecare)  ,golimumab
golimumab 50mg/0.5ml pre-filled pen(smartject)(hom,golimumab
golimumab 50mg/0.5ml solution for injection pre-filled disposable devices,golimumab
golimumab 50mg/0.5ml solution for injection pre-filled disposable devices,golimumab
golimumab 50mg/0.5ml solution for injection pre-filled syringes,golimumab
golimumab 50mg/0.5ml solution for injection pre-filled syringes 1 pre-filled disposable injection,golimumab
golimumab for homecare,golimumab
golimumab homecare,golimumab
golimumab homecare 50 mg in 0.5ml injection 1 pre-filled syringe pack,golimumab
golimumab pre-filled pen  100mg injection solution,golimumab
golimumab pre-filled pen  50mg injection solution,golimumab
golimumab!50mg/0.5ml! pre-filled pen,golimumab
golimumab_hc,golimumab
golimumabforhomecare,golimumab
guselkumab,IL23
guselkumab,IL23
guselkumab-á,IL23
guselkumab (for homecare therapy),IL23
guselkumab (homecare),IL23
guselkumab (homecare),IL23
guselkumab (homecare) 100 mg pre-filled syringe,IL23
guselkumab (pas) 100 mg pen,IL23
guselkumab (pas) 100 mg pre-filled syringe,IL23
guselkumab (tremfya) 100 mg in 1ml pre-filled injection pen,IL23
guselkumab (tremfya) 100 mg in 1ml prefilled syringe,IL23
guselkumab (tremfya) 100 mg pre-filled syringe,IL23
guselkumab (tremfya)_(homecare) 100 mg in 1ml pre-filled injection pen,IL23
guselkumab [tremfya] (homecare) 100 mg pre-filled injection pen,IL23
guselkumab 100mg/1ml solution for injection pre-filled disposable devices,IL23
guselkumab 100mg/1ml solution for injection pre-filled disposable devices,IL23
guselkumab 100mg/1ml solution for injection pre-filled syringes,IL23
guselkumab?,IL23
h adalimumab,adalimumab
h adalimumab (amgevita) pre-filled pen,adalimumab
h adalimumab (amgevita) pre-filled syringe,adalimumab
h adalimumab (humira),adalimumab
h adalimumab (humira) pre-filled syringe,adalimumab
h adalimumab (pre-filled syringe),adalimumab
h anakinra,anakinra
h etanercept (enbrel),etanercept
h etanercept (erelzi),etanercept
h tocilizumab,IL6
h tocilizumab (pfs) subcutaneous,IL6
hc - abatacept (orencia),abatacept
hc - adalimumab (amgevita),adalimumab
hc - adalimumab (amgevita),adalimumab
hc - adalimumab (humira),adalimumab
hc - adalimumab (imraldi),adalimumab
hc - adalimumab (imraldi),adalimumab
hc - baricitinib (olumiant),JAKi
hc - certolizumab pegol (cimzia),certolizumab
hc - etanercept (benepali),etanercept
hc - etanercept (enbrel),etanercept
hc - golimumab (simponi),golimumab
hc - secukinumab (cosentyx),IL17
hc - tocilizumab (roactemra),IL6
hc - tocilizumab (roactemra),IL6
hc - ustekinumab (stelara),ustekinumab
hc - ustekinumab (stelara),ustekinumab
hc abatacept 125 mg injection pre filled pen,abatacept
hc abatacept 125 mg injection prefilled syringe,abatacept
hc abatacept pre-filled pen  125mg injection solution,abatacept
hc abatacept pre-filled pen  125mg injection solution (g-s),abatacept
hc adalimumab (amgevita) 40 mg penset,adalimumab
hc adalimumab (amgevita) 40mg/0.8ml prefilled syringe,adalimumab
hc adalimumab (hyrimoz) 40mg pen,adalimumab
hc adalimumab 40 mg injection pre filled pen,adalimumab
hc adalimumab 40 mg injection vial,adalimumab
hc adalimumab amgevita 40 mg injection pre filled pen,adalimumab
hc adalimumab amgevita 40 mg injection prefilled syringe,adalimumab
hc adalimumab amgevita 40 mg sureclick device,adalimumab
hc adalimumab humira 40 mg injection pre filled pen,adalimumab
hc adalimumab humira 40 mg injection prefilled syringe,adalimumab
hc adalimumab hyrimoz 40 mg injection pre filled pen,adalimumab
hc adalimumab imraldi 40 mg injection pre filled pen,adalimumab
hc adalimumab imraldi 40 mg injection prefilled syringe,adalimumab
hc anakinra 100 mg prefilled syringe,anakinra
hc baricitinib 2 mg tablets,JAKi
hc baricitinib 4 mg tablets,JAKi
hc brodalumab 210 mg injection prefilled syringe,IL17
hc certolizumab 200 mg injection pre filled pen,certolizumab
hc certolizumab 200 mg injection prefilled syringe,certolizumab
hc dupilumab 300 mg injection prefilled syringe,dupilumab
hc etanercept (benepali) 50 mg pen,etanercept
hc etanercept (benepali) 50 mg pre-filled syringe,etanercept
hc etanercept (enbrel) vial 25 mg,etanercept
hc etanercept benepali 50 mg injection pen,etanercept
hc etanercept benepali 50 mg prefilled syringe,etanercept
hc etanercept enbrel 25 mg injection vial,etanercept
hc etanercept enbrel 25 mg prefilled syringe,etanercept
hc etanercept enbrel 50 mg injection pen,etanercept
hc etanercept enbrel 50 mg prefilled syringe,etanercept
